Time (ms), Data
0.000,2352
0.010,2366
0.020,2376
0.030,2383
0.040,2385
0.050,2377
0.060,2384
0.070,2373
0.080,2379
0.090,2379
0.100,2380
0.110,2380
0.120,2379
0.130,2367
0.140,2381
0.150,2394
0.160,2375
0.170,2379
0.180,2382
0.190,2371
0.200,2368
0.210,2371
0.220,2375
0.230,2381
0.240,2379
0.250,2370
0.260,2367
0.270,2384
0.280,2374
0.290,2373
0.300,2381
0.310,2371
0.320,2384
0.330,2370
0.340,2385
0.350,2385
0.360,2384
0.370,2403
0.380,2368
0.390,2368
0.400,2370
0.410,2367
0.420,2370
0.430,2339
0.440,2375
0.450,2377
0.460,2366
0.470,2379
0.480,2367
0.490,2384
0.500,2352
0.510,2385
0.520,2375
0.530,2374
0.540,2368
0.550,2372
0.560,2371
0.570,2379
0.580,2368
0.590,2362
0.600,2368
0.610,2368
0.620,2363
0.630,2373
0.640,2344
0.650,2384
0.660,2375
0.670,2383
0.680,2355
0.690,2383
0.700,2375
0.710,2365
0.720,2362
0.730,2363
0.740,2377
0.750,2368
0.760,2363
0.770,2363
0.780,2368
0.790,2384
0.800,2364
0.810,2361
0.820,2365
0.830,2361
0.840,2382
0.850,2362
0.860,2382
0.870,2374
0.880,2384
0.890,2374
0.900,2375
0.910,2362
0.920,2373
0.930,2381
0.940,2366
0.950,2383
0.960,2382
0.970,2356
0.980,2384
0.990,2387
1.000,2345
1.010,2366
1.020,2366
1.030,2374
1.040,2375
1.050,2346
1.060,2365
1.070,2379
1.080,2361
1.090,2369
1.100,2368
1.110,2373
1.120,2377
1.130,2358
1.140,2358
1.150,2343
1.160,2367
1.170,2385
1.180,2365
1.190,2377
1.200,2365
1.210,2377
1.220,2368
1.230,2368
1.240,2368
1.250,2368
1.260,2368
1.270,2375
1.280,2365
1.290,2368
1.300,2368
1.310,2367
1.320,2387
1.330,2364
1.340,2371
1.350,2378
1.360,2368
1.370,2362
1.380,2372
1.390,2366
1.400,2397
1.410,2359
1.420,2375
1.430,2372
1.440,2368
1.450,2362
1.460,2346
1.470,2371
1.480,2370
1.490,2386
1.500,2377
1.510,2378
1.520,2368
1.530,2363
1.540,2352
1.550,2379
1.560,2351
